,MKTDEPTH_EVENT_TYPE,MKTDEPTH_EVENT_SUBTYPE,ID_BB_SEC_NUM_SRC,FEED_SOURCE,EID,MD_TABLE_CMD_RT,MD_BOOK_TYPE,MBO_WINDOW_SIZE,MD_BOOK_SUBTYPE,MD_PRICE_DISPLAY_FORMAT_TYPE_RT,MD_PRICE_DISPLAY_MIN_NUM_DECIMALS_RT,MD_PRICE_DISPLAY_MAX_NUM_DECIMALS_RT,MD_CURRENCY_RT,MD_QUOTED_CURRENCY_REALTIME,MD_ROUND_LOT_SIZE_RT,cid,MBL_WINDOW_SIZE,MBO_SEQNUM_RT,MD_MULTI_TICK_UPD_RT,MBL_ASK_POSITION_RT,MBL_ASK_RT,MBL_ASK_COND_CODE_RT,MBL_ASK_NUM_ORDERS_RT,MBL_ASK_SIZE_RT,MBL_TIME_RT,MBO_ASK_POSITION_RT,MBO_ASK_RT,MBO_ASK_BROKER_RT,MBO_ASK_COND_CODE_RT,MBO_ASK_SIZE_RT,MBO_TIME_RT,MBO_BID_POSITION_RT,MBO_BID_RT,MBO_BID_BROKER_RT,MBO_BID_COND_CODE_RT,MBO_BID_SIZE_RT,MBL_BID_POSITION_RT,MBL_BID_RT,MBL_BID_COND_CODE_RT,MBL_BID_NUM_ORDERS_RT,MBL_BID_SIZE_RT,MBO_ORDER_ID_RT
10,MARKET_BY_ORDER,BID,,,14112,REPLACE,,,,,,,,,,970 HK Equity.type=TOP,,,,,,,,,,,,,,,2023-06-23 01:18:38,2.0,0.8199999928474426,8305,,0.0,,,,,,
11,MARKET_BY_ORDER,ASK,,,53714,ADD,,,,,,,,,,970 HK Equity.type=MBO,,5.0,,,,,,,,1.0,1.0,,,10000.0,2023-06-23 01:20:28.829000,,,,,,,,,,,2487554
12,MARKET_BY_ORDER,BID,,,53714,ADD,,,,,,,,,,970 HK Equity.type=MBO,,6.0,,,,,,,,,,,,,2023-06-23 01:20:28.829000,1.0,0.8299999833106995,,,2000.0,,,,,,10010370
13,MARKET_BY_ORDER,BID,,,53714,ADD,,,,,,,,,,970 HK Equity.type=MBO,,7.0,,,,,,,,,,,,,2023-06-23 01:20:28.829000,2.0,0.8199999928474426,,,2000.0,,,,,,7506178
14,MARKET_BY_LEVEL,BID,,,14112,REPLACE,,,,,,,,,,970 HK Equity.type=MBL,,,1.0,,,,,,2023-06-23 01:30:31.344000,,,,,,,,,,,,1.0,0.8399999737739563,,1.0,2000.0,
15,MARKET_BY_LEVEL,BID,,,14112,REPLACE,,,,,,,,,,970 HK Equity.type=MBL,,,1.0,,,,,,2023-06-23 01:30:31.344000,,,,,,,,,,,,2.0,0.8299999833106995,,1.0,2000.0,
16,MARKET_BY_LEVEL,BID,,,14112,REPLACE,,,,,,,,,,970 HK Equity.type=MBL,,,0.0,,,,,,2023-06-23 01:30:31.344000,,,,,,,,,,,,3.0,0.8199999928474426,,1.0,2000.0,
17,MARKET_BY_ORDER,BID,,,53714,ADD,,,,,,,,,,970 HK Equity.type=MBO,,8.0,,,,,,,,,,,,,2023-06-23 01:30:31.344000,1.0,0.8399999737739563,,,2000.0,,,,,,27474434
18,MARKET_BY_ORDER,BID,,,14112,REPLACE,,,,,,,,,,970 HK Equity.type=TOP,,,,,,,,,,,,,,,2023-06-23 01:30:31,1.0,0.8399999737739563,3646,,0.0,,,,,,
19,MARKET_BY_ORDER,BID,,,14112,REPLACE,,,,,,,,,,970 HK Equity.type=TOP,,,,,,,,,,,,,,,2023-06-23 01:30:31,2.0,0.8299999833106995,5256,,0.0,,,,,,
20,MARKET_BY_ORDER,BID,,,14112,REPLACE,,,,,,,,,,970 HK Equity.type=TOP,,,,,,,,,,,,,,,2023-06-23 01:30:31,3.0,0.8199999928474426,8305,,0.0,,,,,,
21,MARKET_BY_LEVEL,BID,,,14112,REPLACE,,,,,,,,,,970 HK Equity.type=MBL,,,1.0,,,,,,2023-06-23 01:30:42.908000,,,,,,,,,,,,2.0,0.8199999928474426,,1.0,2000.0,
22,MARKET_BY_LEVEL,BID,,,14112,REPLACE_CLEAR,,,,,,,,,,970 HK Equity.type=MBL,,,0.0,,,,,,2023-06-23 01:30:42.908000,,,,,,,,,,,,3.0,0.0,,0.0,0.0,
23,MARKET_BY_LEVEL,BID,,,14112,REPLACE,,,,,,,,,,970 HK Equity.type=MBL,,,0.0,,,,,,2023-06-23 01:30:42.908000,,,,,,,,,,,,1.0,0.8399999737739563,,2.0,4000.0,
