,Time,Stock_code,Market_subtype,Price,Size,Broker Code,Order_ID,MBO_TIME_RT
71,"""14:50:29.1100""",2660,BID,1.25,8000.0,"""6721""","""32343232393539363138""","""2021-08-12T14:50:28.974+08:00"""
72,"""14:51:57.3141""",2660,BID,1.26000022888184,8000.0,"""6721""","""32343935373533393836""","""2021-08-12T14:51:57.178+08:00"""
73,"""14:51:57.3151""",2660,ASK,1.27000045776367,4000.0,"""2074""","""31393539313731333330""","""2021-08-12T14:51:57.178+08:00"""
74,"""14:51:57.3690""",2660,ASK,1.28999996185303,4000.0,"""2074""","""37323336383438363620""","""2021-08-12T14:51:57.234+08:00"""
75,"""15:02:51.6135""",2660,BID,1.27000045776367,4000.0,"""6721""","""32353035333330393436""","""2021-08-12T15:02:51.481+08:00"""
76,"""15:25:24.3154""",2660,BID,1.26000022888184,2000.0,"""7292""","""32323535313531313036""","""2021-08-12T15:25:24.185+08:00"""
77,"""15:25:24.3164""",2660,BID,1.26000022888184,4000.0,"""4821""","""32323639313637333632""","""2021-08-12T15:25:24.185+08:00"""
78,"""15:25:24.3164""",2660,BID,1.26000022888184,2000.0,"""1978""","""32333039313937333134""","""2021-08-12T15:25:24.185+08:00"""
79,"""15:25:24.3164""",2660,BID,1.26000022888184,10000.0,"""4665""","""32343030373435393836""","""2021-08-12T15:25:24.185+08:00"""
80,"""15:25:24.3173""",2660,ASK,1.26000022888184,82000.0,Unknown,"""32373031393136343138""","""2021-08-12T15:25:24.185+08:00"""
81,"""15:25:26.3683""",2660,ASK,1.26000022888184,100000.0,Unknown,"""32373032303635343130""","""2021-08-12T15:25:26.239+08:00"""
82,"""15:31:02.3974""",2660,ASK,1.27000045776367,6000.0,"""7126""","""32353733343535313036""","""2021-08-12T15:31:02.269+08:00"""
83,"""15:31:02.3974""",2660,ASK,1.26000022888184,6000.0,Unknown,"""32373430333236313436""","""2021-08-12T15:31:02.269+08:00"""
84,"""15:36:19.1404""",2660,BID,1.19999980926514,20000.0,"""1836""","""34383035333738202020""","""2021-08-12T15:36:19.013+08:00"""
85,"""15:42:48.1824""",2660,BID,1.14999961853027,16000.0,"""1836""","""34353734373232202020""","""2021-08-12T15:42:48.055+08:00"""
86,"""15:50:01.7007""",2660,ASK,1.27000045776367,26000.0,"""7357""","""32373032303635393232""","""2021-08-12T15:50:01.574+08:00"""
87,"""15:50:01.7017""",2660,ASK,1.27000045776367,84000.0,Unknown,"""32383433323730343032""","""2021-08-12T15:50:01.575+08:00"""
88,"""15:50:01.7017""",2660,ASK,1.27999973297119,84000.0,Unknown,"""32383433323730393134""","""2021-08-12T15:50:01.575+08:00"""
89,"""15:59:34.1316""",2660,ASK,1.27000045776367,84000.0,"""8575""","""32383433323731313730""","""2021-08-12T15:59:34.004+08:00"""
