,Time,Stock_code,Market_type,Fragment_type,Market_subtype,MD_TABLE_CMD_RT,MBO_SEQNUM_RT,MBO_ORDER_ID_RT,MBO_ASK_POSITION_RT,MBO_ASK_RT,MBO_ASK_SIZE_RT,MBO_ASK_BROKER_RT,MBO_BID_POSITION_RT,MBO_BID_RT,MBO_BID_SIZE_RT,MBO_BID_BROKER_RT,MBO_TIME_RT,MBO_BID_COND_CODE_RT,MBO_ASK_COND_CODE_RT
34,"""09:03:31.8223""",2660,TOP,NONE,BID,REPLACE,,,,,,,9.0,1.15000057220459,0.0,"""8730""","""2021-08-12T09:03:31.000+08:00""","""""",
35,"""09:03:31.8223""",2660,TOP,NONE,BID,REPLACE,,,,,,,10.0,1.15000057220459,0.0,"""1836""","""2021-08-12T09:03:31.000+08:00""","""""",
36,"""09:03:31.8223""",2660,TOP,NONE,BID,REPLACE,,,,,,,11.0,1.11000061035156,0.0,"""6425""","""2021-08-12T09:03:31.000+08:00""","""""",
37,"""09:03:59.0514""",2660,TOP,NONE,BID,REPLACE,,,,,,,9.0,1.15999984741211,0.0,"""6699""","""2021-08-12T09:03:58.000+08:00""","""""",
38,"""09:03:59.0514""",2660,TOP,NONE,BID,REPLACE,,,,,,,10.0,1.15000057220459,0.0,"""8730""","""2021-08-12T09:03:58.000+08:00""","""""",
39,"""09:03:59.0514""",2660,TOP,NONE,BID,REPLACE,,,,,,,11.0,1.15000057220459,0.0,"""1836""","""2021-08-12T09:03:58.000+08:00""","""""",
40,"""09:03:59.0514""",2660,TOP,NONE,BID,REPLACE,,,,,,,12.0,1.11000061035156,0.0,"""6425""","""2021-08-12T09:03:58.000+08:00""","""""",
41,"""09:08:09.8016""",2660,TOP,NONE,ASK,REPLACE,,,1.0,1.27999973297119,0.0,"""2074""",,,,,"""2021-08-12T09:08:09.000+08:00""",,""""""
42,"""09:08:09.8016""",2660,TOP,NONE,ASK,REPLACE,,,2.0,1.36999988555908,0.0,"""8301""",,,,,"""2021-08-12T09:08:09.000+08:00""",,""""""
43,"""09:13:25.3659""",2660,TOP,NONE,ASK,REPLACE,,,2.0,1.35999965667725,0.0,"""2074""",,,,,"""2021-08-12T09:13:25.000+08:00""",,""""""
44,"""09:13:25.3659""",2660,TOP,NONE,ASK,REPLACE,,,3.0,1.36999988555908,0.0,"""8301""",,,,,"""2021-08-12T09:13:25.000+08:00""",,""""""
45,"""09:13:25.3659""",2660,TOP,NONE,BID,REPLACE,,,,,,,7.0,1.21000003814697,0.0,"""2074""","""2021-08-12T09:13:25.000+08:00""","""""",
46,"""09:13:25.3659""",2660,TOP,NONE,BID,REPLACE,,,,,,,8.0,1.19999980926514,0.0,"""1836""","""2021-08-12T09:13:25.000+08:00""","""""",
47,"""09:13:25.3659""",2660,TOP,NONE,BID,REPLACE,,,,,,,9.0,1.19999980926514,0.0,"""8306""","""2021-08-12T09:13:25.000+08:00""","""""",
48,"""09:13:25.3659""",2660,TOP,NONE,BID,REPLACE,,,,,,,10.0,1.15999984741211,0.0,"""6699""","""2021-08-12T09:13:25.000+08:00""","""""",
49,"""09:13:25.3659""",2660,TOP,NONE,BID,REPLACE,,,,,,,11.0,1.15000057220459,0.0,"""8730""","""2021-08-12T09:13:25.000+08:00""","""""",
50,"""09:13:25.3659""",2660,TOP,NONE,BID,REPLACE,,,,,,,12.0,1.15000057220459,0.0,"""1836""","""2021-08-12T09:13:25.000+08:00""","""""",
51,"""09:13:25.3659""",2660,TOP,NONE,BID,REPLACE,,,,,,,13.0,1.11000061035156,0.0,"""6425""","""2021-08-12T09:13:25.000+08:00""","""""",
52,"""09:20:46.4140""",2660,MBO,NONE,ASK,ADD,3.0,"""31313132353530362020""",1.0,1.27999973297119,4000.0,,,,,,"""2021-08-12T09:20:46.234+08:00""",,""""""
53,"""09:20:46.4219""",2660,MBO,NONE,ASK,ADD,4.0,"""31323438373432362020""",2.0,1.35999965667725,2000.0,,,,,,"""2021-08-12T09:20:46.234+08:00""",,""""""
54,"""09:20:46.4219""",2660,MBO,NONE,ASK,ADD,5.0,"""38323238303938202020""",3.0,1.36999988555908,50000.0,,,,,,"""2021-08-12T09:20:46.234+08:00""",,""""""
55,"""09:20:46.4219""",2660,MBO,NONE,BID,ADD,6.0,"""38353939303620202020""",,,,,1.0,1.26000022888184,66000.0,,"""2021-08-12T09:20:46.234+08:00""","""""",
56,"""09:20:46.4219""",2660,MBO,NONE,BID,ADD,7.0,"""36393533323138202020""",,,,,2.0,1.26000022888184,20000.0,,"""2021-08-12T09:20:46.234+08:00""","""""",
