Position,Price,Order_ID,Size
1,1.27000045776367,"""32363638323335303130""",2000.0
2,1.27000045776367,"""32373032303635363636""",6000.0
3,1.27999973297119,"""31393539313538323734""",206000.0
4,1.28999996185303,"""32383736383435353730""",4000.0
5,1.30000019073486,"""34313436383339303620""",50000.0
6,1.30000019073486,"""36353939383837333820""",24000.0
7,1.30000019073486,"""31333139323534323734""",10000.0
8,1.30000019073486,"""32383831313339373134""",4000.0
9,1.3100004196167,"""32383833353139343930""",4000.0
10,1.32999992370605,"""36383031363132383220""",56000.0
11,1.32999992370605,"""31333233393235353036""",30000.0
12,1.34000015258789,"""33373234383333333020""",4000.0
13,1.34000015258789,"""33383933323831333020""",20000.0
14,1.34000015258789,"""35383139383332333420""",20000.0
15,1.36999988555908,"""38323238303938202020""",50000.0
16,1.36999988555908,"""31333238353132373730""",40000.0
17,1.42000007629395,"""33303534363039393420""",30000.0
18,1.43000030517578,"""34373438373639333020""",10000.0
19,1.44000053405762,"""32343635343539323220""",10000.0
20,1.5,"""31363234313536313820""",14000.0
21,1.5,"""31363336313234313820""",20000.0
22,1.51000022888184,"""32343333383132393934""",6000.0
23,1.52999973297119,"""31363233383536363620""",2000.0
24,1.5600004196167,"""31363234313932303220""",2000.0
