Position,Price,Broker Code
1,1.27000045776367,"""8467"""
2,1.27000045776367,"""1677"""
3,1.27999973297119,"""8575"""
4,1.28999996185303,"""2074"""
5,1.30000019073486,""" 141"""
6,1.30000019073486,"""1886"""
7,1.30000019073486,""" 118"""
8,1.30000019073486,"""2074"""
9,1.3100004196167,"""2074"""
10,1.32999992370605,"""8176"""
11,1.32999992370605,""" 104"""
12,1.34000015258789,"""5357"""
13,1.34000015258789,"""8169"""
14,1.34000015258789,"""4581"""
15,1.36999988555908,"""8301"""
16,1.36999988555908,""" 118"""
17,1.42000007629395,"""8939"""
