Timestamp,BrokerID,Price,Side,Size,Action,Position,Condition Codes,Broker Name,Trade Type
2023-06-26 10:29:36.185000,2077,2.56,BID,6000.0,Removed Order,6.0,,Barclays Capital Asia Limited,
2023-06-26 10:29:36.190000,5344,2.56,BID,16000.0,New Order,6.0,,J.P. Morgan Broking (Hong Kong) Limited,
2023-06-26 10:29:44.058000,2428,2.63,ASK,678000.0,New Order,20.0,,Barclays Capital Asia Limited,
2023-06-26 10:29:44.058000,4457,2.63,ASK,260000.0,New Order,21.0,,Barclays Capital Asia Limited,
2023-06-26 10:29:53.534000,2044,2.59,ASK,52000.0,New Order,3.0,,Barclays Capital Asia Limited,
2023-06-26 10:29:53.535000,2045,2.59,ASK,8000.0,New Order,4.0,,Barclays Capital Asia Limited,
2023-06-26 10:29:53.536000,4107,2.6,ASK,1000.0,Removed Order,9.0,,BNP Paribas Securities (Asia) Limited,
2023-06-26 10:29:53.536000,4107,2.59,ASK,1000.0,New Order,5.0,,BNP Paribas Securities (Asia) Limited,
2023-06-26 10:29:53.615000,3448,2.6,ASK,1000.0,New Order,10.0,,Goldman Sachs (Asia) Securities Limited,
2023-06-26 10:30:05.916000,1172,2.59,ASK,5000.0,Trade,1.0,,Huatai Financial Holdings (Hong Kong) Limited,Passive
2023-06-26 10:30:05.999000,1172,2.59,ASK,1000.0,Trade,1.0,,Huatai Financial Holdings (Hong Kong) Limited,Passive
2023-06-26 10:30:24.821000,5999,2.57,BID,28000.0,New Order,1.0,,China Innovation Market Service Company Limited,
2023-06-26 10:30:24.821000,2045,2.59,ASK,8000.0,Removed Order,4.0,,Barclays Capital Asia Limited,
2023-06-26 10:30:24.827000,5344,2.56,BID,16000.0,Removed Order,7.0,,J.P. Morgan Broking (Hong Kong) Limited,
2023-06-26 10:30:32.675000,3436,2.59,ASK,1000.0,New Order,5.0,,Goldman Sachs (Asia) Securities Limited,
2023-06-26 10:30:33.978000,2428,2.5,BID,682000.0,Removed Order,34.0,,Barclays Capital Asia Limited,
2023-06-26 10:30:35.262000,1172,2.59,ASK,5000.0,Trade,1.0,,Huatai Financial Holdings (Hong Kong) Limited,Passive
2023-06-26 10:30:35.281000,2077,2.56,BID,10000.0,Removed Order,5.0,,Barclays Capital Asia Limited,
2023-06-26 10:30:35.281000,5999,2.53,BID,10000.0,New Order,23.0,,China Innovation Market Service Company Limited,
2023-06-26 10:30:35.337000,1172,2.59,ASK,1000.0,Trade,1.0,,Huatai Financial Holdings (Hong Kong) Limited,Passive
2023-06-26 10:30:35.359000,5999,2.53,BID,10000.0,Removed Order,23.0,,China Innovation Market Service Company Limited,
2023-06-26 10:30:35.359000,2077,2.56,BID,10000.0,New Order,6.0,,Barclays Capital Asia Limited,
2023-06-26 10:30:42.278000,1836,2.51,BID,683000.0,New Order,31.0,,Instinet Pacific Limited,
2023-06-26 10:30:42.875000,1836,2.52,BID,31000.0,New Order,27.0,,Instinet Pacific Limited,
