,Timestamp,BrokerID,Price,Side,Size,Action,Position,Condition Codes,Broker Name,Trade Type,,,
51,6/28/2023 10:15:46.216,5336,0.49,ASK,27000,Removed Order,3,,J.P. Morgan Broking (Hong Kong) Limited,,,,
52,6/28/2023 10:15:55.263,2245,0.49,ASK,24000,Removed Order,3,,Futu Securities International (Hong Kong) Limited,,,,
53,6/28/2023 10:15:55.263,2245,0.49,ASK,24000,New Order,2,,Futu Securities International (Hong Kong) Limited,,,,
54,6/28/2023 10:16:23.692,2245,0.49,ASK,24000,Removed Order,2,,Futu Securities International (Hong Kong) Limited,,,,
55,6/28/2023 10:16:23.692,6107,0.48,BID,6000,Trade,1,,Guotai Junan Securities (Hong Kong) Limited,Passive,,,
56,6/28/2023 10:16:23.692,6107,0.48,BID,15000,Trade,1,,Guotai Junan Securities (Hong Kong) Limited,Passive,,,
57,6/28/2023 10:16:23.791,4120,0.49,ASK,15000,New Order,2,,Hung Sing Securities Limited,,,,
58,6/28/2023 10:16:53.705,6106,0.49,ASK,4000,New Order,8,,Guotai Junan Securities (Hong Kong) Limited,,,,
59,6/28/2023 10:17:02.736,6101,0.49,ASK,9000,New Order,3,,Guotai Junan Securities (Hong Kong) Limited,,,,
60,6/28/2023 10:17:29.756,8305,0.5,ASK,2000,Removed Order,15,,Futu Securities International (Hong Kong) Limited,,,,
61,6/28/2023 10:17:39.911,6107,0.48,BID,15000,Trade,1,,Guotai Junan Securities (Hong Kong) Limited,Passive,,,
62,6/28/2023 10:17:39.911,4127,0.48,BID,5000,Trade,1,,Hung Sing Securities Limited,Passive,,,
63,6/28/2023 10:17:39.964,2519,0.49,ASK,5000,New Order,4,,Yue Xiu Securities Company Limited,,,,
64,6/28/2023 10:17:40.025,4121,0.49,ASK,15000,New Order,5,,Hung Sing Securities Limited,,,,
65,6/28/2023 10:18:03.918,4127,0.48,BID,20000,Removed Order,2,,Hung Sing Securities Limited,,,,
66,6/28/2023 10:18:50.129,5336,0.49,ASK,13000,New Order,6,,J.P. Morgan Broking (Hong Kong) Limited,,,,
67,6/28/2023 10:19:27.999,6106,0.49,ASK,1000,Order Modified,12,,Guotai Junan Securities (Hong Kong) Limited,,,,
68,6/28/2023 10:19:39.935,6107,0.49,ASK,3000,New Order,7,,Guotai Junan Securities (Hong Kong) Limited,,,,
69,6/28/2023 10:20:33.302,2310,0.49,ASK,174000,Removed Order,1,,Hang Seng Securities Limited,,,,
70,6/28/2023 10:21:18.988,2310,0.48,BID,6000,New Order,3,,Hang Seng Securities Limited,,,,
71,6/28/2023 10:21:27.027,6107,0.49,ASK,3000,Removed Order,6,,Guotai Junan Securities (Hong Kong) Limited,,,,
72,6/28/2023 10:21:27.027,6107,0.49,ASK,3000,New Order,12,,Guotai Junan Securities (Hong Kong) Limited,,,,
73,6/28/2023 10:22:34.349,8461,0.5,ASK,30000,Removed Order,18,,Futu Securities International (Hong Kong) Limited,,,,
74,6/28/2023 10:22:34.349,8461,0.5,ASK,30000,New Order,17,,Futu Securities International (Hong Kong) Limited,,,,
75,6/28/2023 10:25:40.151,4120,0.49,ASK,2000,Order Modified,1,,Hung Sing Securities Limited,,,,
76,6/28/2023 10:50:02.820,4120,0.49,ASK,1000,Order Modified,1,,Hung Sing Securities Limited,,,,
77,6/28/2023 11:03:22.388,8176,0.49,ASK,13000,New Order,6,,BOCI Securities Limited,,,,
78,6/28/2023 11:08:47.558,4120,0.49,ASK,1000,Order Modified,1,,Hung Sing Securities Limited,,,,
79,6/28/2023 11:11:09.144,485,0.48,BID,500000,New Order,4,,Essence International Securities (Hong Kong) Limited,,,,
80,6/28/2023 11:13:02.030,6106,0.49,ASK,3000,Removed Order,12,,Guotai Junan Securities (Hong Kong) Limited,,,,
81,6/28/2023 11:13:03.008,6107,0.49,ASK,3000,Removed Order,12,,Guotai Junan Securities (Hong Kong) Limited,,,,
82,6/28/2023 11:13:08.048,6107,0.49,ASK,5000,New Order,12,,Guotai Junan Securities (Hong Kong) Limited,,,,
83,6/28/2023 11:13:35.165,6101,0.5,ASK,1000,New Order,20,,Guotai Junan Securities (Hong Kong) Limited,,,,
84,6/28/2023 11:13:51.326,6101,0.5,ASK,1000,Removed Order,20,,Guotai Junan Securities (Hong Kong) Limited,,,,
85,6/28/2023 11:13:51.326,6101,0.51,ASK,1000,New Order,22,,Guotai Junan Securities (Hong Kong) Limited,,,,
86,6/28/2023 11:14:20.469,6101,0.49,ASK,1000,Order Modified,2,,Guotai Junan Securities (Hong Kong) Limited,,,,
87,6/28/2023 11:14:34.559,6101,0.52,ASK,1000,New Order,25,,Guotai Junan Securities (Hong Kong) Limited,,,,
88,6/28/2023 11:18:58.406,5336,0.49,ASK,13000,Removed Order,5,,J.P. Morgan Broking (Hong Kong) Limited,,,,
89,6/28/2023 11:44:50.773,4120,0.49,ASK,2000,Order Modified,1,,Hung Sing Securities Limited,,,,
90,6/28/2023 13:06:16.112,4120,0.49,ASK,2000,Order Modified,1,,Hung Sing Securities Limited,,,,
91,6/28/2023 13:07:41.005,6102,0.45,BID,20000,Removed Order,19,,Guotai Junan Securities (Hong Kong) Limited,,,,
92,6/28/2023 13:17:36.961,4120,0.49,ASK,1000,Order Modified,1,,Hung Sing Securities Limited,,,,
93,6/28/2023 13:34:17.738,4120,0.49,ASK,1000,Order Modified,1,,Hung Sing Securities Limited,,,,
94,6/28/2023 13:44:53.828,757,0.44,BID,150000,New Order,23,,Jefferies Hong Kong Limited,,,,
95,6/28/2023 14:01:37.005,6105,0.42,BID,30000,Removed Order,26,,Guotai Junan Securities (Hong Kong) Limited,,,,
96,6/28/2023 14:16:41.442,8462,0.49,ASK,50000,New Order,6,,Futu Securities International (Hong Kong) Limited,,,,
97,6/28/2023 14:17:31.461,8462,0.49,ASK,50000,Removed Order,6,,Futu Securities International (Hong Kong) Limited,,,,
98,6/28/2023 14:29:19.185,4127,0.48,BID,12000,Trade,1,,Hung Sing Securities Limited,Passive,,,
99,6/28/2023 14:29:19.350,8295,0.49,ASK,12000,New Order,6,,Yue Xiu Securities Company Limited,,,,
100,6/28/2023 14:29:25.551,4120,0.49,ASK,4000,Order Modified,1,,Hung Sing Securities Limited,,,,
101,6/28/2023 14:47:03.015,8303,0.45,BID,40000,Removed Order,19,,Futu Securities International (Hong Kong) Limited,,,,
102,6/28/2023 14:49:38.006,6104,0.44,BID,30000,Removed Order,24,,Guotai Junan Securities (Hong Kong) Limited,,,,
103,6/28/2023 14:50:00.920,4120,0.49,ASK,1000,Removed Order,1,,Hung Sing Securities Limited,,,,
104,6/28/2023 14:53:06.885,4127,0.48,BID,15000,Trade,1,,Hung Sing Securities Limited,Passive,,,
105,6/28/2023 14:53:07.053,8297,0.49,ASK,15000,New Order,6,,Yue Xiu Securities Company Limited,,,,
106,6/28/2023 14:53:11.933,6101,0.49,ASK,3000,Order Modified,1,,Guotai Junan Securities (Hong Kong) Limited,,,,
107,6/28/2023 14:53:23.416,8295,0.49,ASK,12000,Removed Order,5,,Yue Xiu Securities Company Limited,,,,
108,6/28/2023 14:53:27.259,8297,0.49,ASK,15000,Removed Order,5,,Yue Xiu Securities Company Limited,,,,
109,6/28/2023 15:14:14.011,6699,0.4,BID,30000,Removed Order,26,,Interactive Brokers Hong Kong Limited,,,,
110,6/28/2023 15:17:14.379,8127,0.48,BID,10000,Removed Order,9,,BOCI Securities Limited,,,,
111,6/28/2023 15:17:14.379,8127,0.48,BID,10000,New Order,5,,BOCI Securities Limited,,,,
112,6/28/2023 15:17:22.008,6107,0.4,BID,20000,Removed Order,27,,Guotai Junan Securities (Hong Kong) Limited,,,,
113,6/28/2023 15:18:03.736,4409,0.48,BID,60000,New Order,6,,Dah Sing Securities Limited,,,,
114,6/28/2023 15:21:09.009,6107,0.4,BID,40000,Removed Order,27,,Guotai Junan Securities (Hong Kong) Limited,,,,
115,6/28/2023 15:25:39.428,4127,0.48,BID,8000,Trade,1,,Hung Sing Securities Limited,Passive,,,
116,6/28/2023 15:25:39.428,4821,0.48,BID,8000,Trade,1,,Valuable Capital Limited,Passive,,,
117,6/28/2023 15:25:39.482,8298,0.49,ASK,8000,New Order,6,,Yue Xiu Securities Company Limited,,,,
118,6/28/2023 15:25:43.381,6101,0.49,ASK,3000,Order Modified,1,,Guotai Junan Securities (Hong Kong) Limited,,,,
119,6/28/2023 15:25:49.518,6101,0.49,ASK,2000,Removed Order,1,,Guotai Junan Securities (Hong Kong) Limited,,,,
120,6/28/2023 15:25:49.518,2519,0.49,ASK,1000,Order Modified,1,,Yue Xiu Securities Company Limited,,,,
121,6/28/2023 15:25:56.979,8298,0.49,ASK,8000,Removed Order,5,,Yue Xiu Securities Company Limited,,,,
122,6/28/2023 15:26:00.419,8298,0.49,ASK,27000,Removed Order,4,,Yue Xiu Securities Company Limited,,,,
123,6/28/2023 15:27:21.276,8293,0.44,BID,6000,Removed Order,20,,Yue Xiu Securities Company Limited,,,,
124,6/28/2023 15:29:14.024,6699,0.4,BID,40000,Removed Order,25,,Interactive Brokers Hong Kong Limited,,,,
125,6/28/2023 15:30:09.005,6104,0.44,BID,40000,Removed Order,22,,Guotai Junan Securities (Hong Kong) Limited,,,,
126,6/28/2023 15:34:56.430,6101,0.51,ASK,1000,Removed Order,20,,Guotai Junan Securities (Hong Kong) Limited,,,,
127,6/28/2023 15:34:56.655,6101,0.52,ASK,1000,Removed Order,22,,Guotai Junan Securities (Hong Kong) Limited,,,,
128,6/28/2023 15:35:34.886,8293,0.5,ASK,2000,Removed Order,13,,Yue Xiu Securities Company Limited,,,,
129,6/28/2023 15:46:34.074,4409,0.48,BID,60000,Removed Order,5,,Dah Sing Securities Limited,,,,
130,6/28/2023 15:46:34.823,2519,0.49,ASK,4000,Removed Order,1,,Yue Xiu Securities Company Limited,,,,
131,6/28/2023 15:46:34.823,4121,0.49,ASK,15000,Removed Order,1,,Hung Sing Securities Limited,,,,
132,6/28/2023 15:46:34.823,8176,0.49,ASK,13000,Removed Order,1,,BOCI Securities Limited,,,,
133,6/28/2023 15:46:43.742,8290,0.48,BID,40000,New Order,5,,Yue Xiu Securities Company Limited,,,,
134,6/28/2023 15:47:50.200,4821,0.48,BID,36000,Trade,1,,Valuable Capital Limited,Passive,,,
135,6/28/2023 15:48:02.589,1172,0.49,ASK,1000,Trade,1,,Huatai Financial Holdings (Hong Kong) Limited,Passive,,,
136,6/28/2023 15:48:02.589,1172,0.49,ASK,1000,Trade,1,,Huatai Financial Holdings (Hong Kong) Limited,Passive,,,
137,6/28/2023 15:48:04.255,5345,0.49,ASK,13000,New Order,7,,J.P. Morgan Broking (Hong Kong) Limited,,,,
138,6/28/2023 15:48:27.429,2992,0.49,BID,1000,New Order,1,,Zhongtai International Securities Limited,,,,
139,6/28/2023 15:48:49.316,2992,0.49,BID,1000,Removed Order,1,,Zhongtai International Securities Limited,,,,
140,6/28/2023 15:49:01.903,4821,0.48,BID,120000,Trade,1,,Valuable Capital Limited,Passive,,,
141,6/28/2023 15:49:06.402,1172,0.49,ASK,3000,Trade,1,,Huatai Financial Holdings (Hong Kong) Limited,Passive,,,
142,6/28/2023 15:49:14.299,1172,0.49,ASK,2000,Trade,1,,Huatai Financial Holdings (Hong Kong) Limited,Passive,,,
143,6/28/2023 15:49:18.225,4821,0.48,BID,1000,Trade,1,,Valuable Capital Limited,Passive,,,
144,6/28/2023 15:49:23.185,2992,0.49,BID,1000,New Order,1,,Zhongtai International Securities Limited,,,,
145,6/28/2023 15:49:30.213,1172,0.49,ASK,1000,Trade,1,,Huatai Financial Holdings (Hong Kong) Limited,Passive,,,
146,6/28/2023 15:58:10.327,757,0.44,BID,150000,Removed Order,22,,Jefferies Hong Kong Limited,,,,
