,Timestamp,BrokerID,Price,Side,Size,Action,Position,Condition Codes,Broker Name,Trade Type,,
0,7/3/2023 09:20:04.254,6104,0.475,ASK,2000,New Order,1,,Guotai Junan Securities (Hong Kong) Limited,,,
1,7/3/2023 09:20:04.254,4129,0.475,ASK,20000,New Order,2,,Hung Sing Securities Limited,,,
2,7/3/2023 09:20:04.254,8299,0.475,ASK,30000,New Order,3,,Yue Xiu Securities Company Limited,,,
3,7/3/2023 09:20:04.254,2519,0.475,ASK,29000,New Order,4,,Yue Xiu Securities Company Limited,,,
4,7/3/2023 09:20:04.254,6105,0.48,ASK,6000,New Order,5,,Guotai Junan Securities (Hong Kong) Limited,,,
5,7/3/2023 09:20:04.254,8301,0.48,ASK,3000,New Order,6,,Futu Securities International (Hong Kong) Limited,,,
6,7/3/2023 09:20:04.254,6106,0.485,ASK,4000,New Order,7,,Guotai Junan Securities (Hong Kong) Limited,,,
7,7/3/2023 09:20:04.254,6430,0.485,ASK,129000,New Order,8,,CITIC Securities Brokerage (HK) Limited,,,
8,7/3/2023 09:20:04.254,8291,0.485,ASK,18000,New Order,9,,Yue Xiu Securities Company Limited,,,
9,7/3/2023 09:20:04.254,8308,0.495,ASK,100000,New Order,10,,Futu Securities International (Hong Kong) Limited,,,
10,7/3/2023 09:20:04.254,2457,0.5,ASK,100000,New Order,11,,Futu Securities International (Hong Kong) Limited,,,
11,7/3/2023 09:20:04.254,8466,0.51,ASK,200000,New Order,12,,Futu Securities International (Hong Kong) Limited,,,
12,7/3/2023 09:20:04.254,4409,0.52,ASK,77000,New Order,13,,Dah Sing Securities Limited,,,
13,7/3/2023 09:20:04.254,8307,0.53,ASK,10000,New Order,14,,Futu Securities International (Hong Kong) Limited,,,
14,7/3/2023 09:20:04.254,6107,0.47,BID,6000,New Order,1,,Guotai Junan Securities (Hong Kong) Limited,,,
15,7/3/2023 09:20:04.254,6101,0.465,BID,9000,New Order,2,,Guotai Junan Securities (Hong Kong) Limited,,,
16,7/3/2023 09:20:04.254,8295,0.465,BID,30000,New Order,3,,Yue Xiu Securities Company Limited,,,
17,7/3/2023 09:20:04.254,2246,0.465,BID,113000,New Order,4,,Futu Securities International (Hong Kong) Limited,,,
18,7/3/2023 09:20:04.254,6102,0.46,BID,9000,New Order,5,,Guotai Junan Securities (Hong Kong) Limited,,,
19,7/3/2023 09:20:04.254,6699,0.46,BID,80000,New Order,6,,Interactive Brokers Hong Kong Limited,,,
20,7/3/2023 09:20:04.254,6104,0.455,BID,9000,New Order,7,,Guotai Junan Securities (Hong Kong) Limited,,,
21,7/3/2023 09:20:04.254,6105,0.45,BID,9000,New Order,8,,Guotai Junan Securities (Hong Kong) Limited,,,
22,7/3/2023 09:20:04.254,2290,0.45,BID,80000,New Order,9,,One China Securities Limited,,,
