,MKTDEPTH_EVENT_TYPE,MKTDEPTH_EVENT_SUBTYPE,ID_BB_SEC_NUM_SRC,FEED_SOURCE,EID,MD_BOOK_TYPE,MBO_WINDOW_SIZE,MBO_SEQNUM_RT,MD_BOOK_SUBTYPE,MD_PRICE_DISPLAY_FORMAT_TYPE_RT,MD_PRICE_DISPLAY_MIN_NUM_DECIMALS_RT,MD_PRICE_DISPLAY_MAX_NUM_DECIMALS_RT,MD_CURRENCY_RT,MD_QUOTED_CURRENCY_REALTIME,MD_ROUND_LOT_SIZE_RT,cid,MBL_WINDOW_SIZE,MD_MULTI_TICK_UPD_RT,MBL_ASK_POSITION_RT,MBL_ASK_RT,MBL_ASK_COND_CODE_RT,MBL_ASK_NUM_ORDERS_RT,MBL_ASK_SIZE_RT,MBL_TIME_RT,MBL_BID_POSITION_RT,MBL_BID_RT,MBL_BID_COND_CODE_RT,MBL_BID_NUM_ORDERS_RT,MBL_BID_SIZE_RT,MBO_ASK_POSITION_RT,MBO_ASK_RT,MBO_ASK_BROKER_RT,MBO_ASK_COND_CODE_RT,MBO_ASK_SIZE_RT,MD_TABLE_CMD_RT,MBO_TIME_RT,MBO_BID_POSITION_RT,MBO_BID_RT,MBO_BID_BROKER_RT,MBO_BID_COND_CODE_RT,MBO_BID_SIZE_RT,MBO_ORDER_ID_RT
2644,MARKET_BY_LEVEL,BID,,,14112,,,,,,,,,,,2060 HK Equity.type=MBL,,0,,,,,,6/28/2023 07:58:10.327,9,0.439999998,,1,100000,,,,,,REPLACE,,,,,,,
2645,MARKET_BY_ORDER,BID,,,14112,,,,,,,,,,,2060 HK Equity.type=TOP,,,,,,,,,,,,,,,,,,,REPLACE,6/28/2023 07:58:10.000,22,0.420000017,2290,,0,
2646,MARKET_BY_ORDER,BID,,,14112,,,,,,,,,,,2060 HK Equity.type=TOP,,,,,,,,,,,,,,,,,,,REPLACE_CLEAR,6/28/2023 07:58:10.000,23,0,,,0,
2647,MARKET_BY_LEVEL,BID,,,14112,,,,,,,,,,,2060 HK Equity.type=MBL,,1,,,,,,6/28/2023 08:01:02.571,1,0.49000001,,1,4000,,,,,,REPLACE,,,,,,,
2648,MARKET_BY_LEVEL,BID,,,14112,,,,,,,,,,,2060 HK Equity.type=MBL,,1,,,,,,6/28/2023 08:01:02.571,2,0.485000014,,1,1000,,,,,,REPLACE,,,,,,,
2649,MARKET_BY_LEVEL,BID,,,14112,,,,,,,,,,,2060 HK Equity.type=MBL,,1,,,,,,6/28/2023 08:01:02.571,3,0.480000019,,5,599000,,,,,,REPLACE,,,,,,,
2650,MARKET_BY_LEVEL,BID,,,14112,,,,,,,,,,,2060 HK Equity.type=MBL,,1,,,,,,6/28/2023 08:01:02.571,4,0.475000024,,4,80000,,,,,,REPLACE,,,,,,,
2651,MARKET_BY_LEVEL,BID,,,14112,,,,,,,,,,,2060 HK Equity.type=MBL,,1,,,,,,6/28/2023 08:01:02.571,5,0.470000029,,3,124000,,,,,,REPLACE,,,,,,,
2652,MARKET_BY_LEVEL,BID,,,14112,,,,,,,,,,,2060 HK Equity.type=MBL,,1,,,,,,6/28/2023 08:01:02.571,6,0.465000033,,1,7000,,,,,,REPLACE,,,,,,,
2653,MARKET_BY_LEVEL,BID,,,14112,,,,,,,,,,,2060 HK Equity.type=MBL,,1,,,,,,6/28/2023 08:01:02.571,7,0.460000038,,3,149000,,,,,,REPLACE,,,,,,,
2654,MARKET_BY_LEVEL,BID,,,14112,,,,,,,,,,,2060 HK Equity.type=MBL,,1,,,,,,6/28/2023 08:01:02.571,8,0.455000043,,1,4000,,,,,,REPLACE,,,,,,,
2655,MARKET_BY_LEVEL,BID,,,14112,,,,,,,,,,,2060 HK Equity.type=MBL,,1,,,,,,6/28/2023 08:01:02.571,9,0.449999988,,2,31000,,,,,,REPLACE,,,,,,,
2656,MARKET_BY_LEVEL,BID,,,14112,,,,,,,,,,,2060 HK Equity.type=MBL,,0,,,,,,6/28/2023 08:01:02.571,10,0.439999998,,1,100000,,,,,,REPLACE,,,,,,,
2657,MARKET_BY_LEVEL,BID,,,14112,,,,,,,,,,,2060 HK Equity.type=MBL,,0,,,,,,6/28/2023 08:01:02.571,10,0,,0,0,,,,,,REPLACE_CLEAR,,,,,,,
2658,MARKET_BY_ORDER,BID,,,14112,,,,,,,,,,,2060 HK Equity.type=TOP,,,,,,,,,,,,,,,,,,,REPLACE,6/28/2023 08:01:02.000,1,0.49000001,2992,,0,
2659,MARKET_BY_ORDER,BID,,,14112,,,,,,,,,,,2060 HK Equity.type=TOP,,,,,,,,,,,,,,,,,,,REPLACE,6/28/2023 08:01:02.000,2,0.485000014,2992,,0,
2660,MARKET_BY_ORDER,BID,,,14112,,,,,,,,,,,2060 HK Equity.type=TOP,,,,,,,,,,,,,,,,,,,REPLACE,6/28/2023 08:01:02.000,3,0.480000019,4821,,0,
