Timestamp,BrokerID,Price,Side,Size,Action,Position,Condition Codes,Broker Name
06:57.8,3448,2.6,ASK,3000,New Order,2,,Goldman Sachs (Asia) Securities Limited
06:58.2,5344,2.6,ASK,3000,New Order,3,,J.P. Morgan Broking (Hong Kong) Limited
06:58.6,1836,2.56,BID,31000,Removed Order,10,,Instinet Pacific Limited
06:58.9,5999,2.52,BID,8000,Removed Order,11,,China Innovation Market Service Company Limited
06:58.9,5999,2.6,ASK,55000,Trade,1,,China Innovation Market Service Company Limited
07:02.4,1836,2.6,ASK,1000000,New Order,4,,Instinet Pacific Limited
07:02.4,5999,2.6,ASK,339000,Trade,1,,China Innovation Market Service Company Limited
07:02.4,3448,2.6,ASK,3000,Trade,1,,Goldman Sachs (Asia) Securities Limited
07:02.4,5344,2.6,ASK,3000,Trade,1,,J.P. Morgan Broking (Hong Kong) Limited
07:02.4,1836,2.6,ASK,615000,Trade,1,,Instinet Pacific Limited
07:02.4,1836,2.6,ASK,15000,Trade,1,,Instinet Pacific Limited
07:02.4,3646,2.59,BID,2000,New Order,4,,Merrill Lynch Far East Limited
07:02.4,1836,2.6,ASK,136000,Trade,1,,Instinet Pacific Limited
07:02.4,1836,2.6,ASK,234000,Trade,1,,Instinet Pacific Limited
07:02.4,5342,2.62,ASK,85000,New Order,7,,J.P. Morgan Broking (Hong Kong) Limited
07:02.4,1799,2.58,BID,1000,New Order,7,,Bright Smart Securities International (H.K.) Limited
07:04.5,6387,2.67,ASK,2000,New Order,31,,Morgan Stanley Hong Kong Securities Limited
07:04.9,1836,2.51,BID,40000,New Order,13,,Instinet Pacific Limited
07:07.3,6387,2.67,ASK,5000,New Order,32,,Morgan Stanley Hong Kong Securities Limited
07:07.3,6387,2.67,ASK,4000,New Order,33,,Morgan Stanley Hong Kong Securities Limited
07:07.3,5337,2.59,BID,48000,Removed Order,3,,J.P. Morgan Broking (Hong Kong) Limited
07:07.3,5339,2.59,BID,17000,New Order,4,,J.P. Morgan Broking (Hong Kong) Limited
07:08.7,5337,2.59,BID,62000,New Order,5,,J.P. Morgan Broking (Hong Kong) Limited
07:08.7,5342,2.62,ASK,85000,Removed Order,7,,J.P. Morgan Broking (Hong Kong) Limited
07:08.7,5347,2.62,ASK,51000,New Order,7,,J.P. Morgan Broking (Hong Kong) Limited
07:08.8,115,2.69,ASK,3000,Removed Order,40,,Core Pacific - Yamaichi International (H.K.) Limited
07:09.4,5999,2.6,ASK,1000000,New Order,1,,China Innovation Market Service Company Limited
07:09.4,5339,2.59,BID,17000,Removed Order,4,,J.P. Morgan Broking (Hong Kong) Limited
07:10.3,6387,2.61,ASK,17000,New Order,2,,Morgan Stanley Hong Kong Securities Limited
07:10.3,5342,2.69,ASK,18000,Removed Order,41,,J.P. Morgan Broking (Hong Kong) Limited
07:10.3,6387,2.6,ASK,18000,New Order,2,,Morgan Stanley Hong Kong Securities Limited
07:10.4,5998,2.65,ASK,19000,Removed Order,20,,China Innovation Market Service Company Limited
07:10.6,6387,2.67,ASK,2000,Removed Order,33,,Morgan Stanley Hong Kong Securities Limited
07:10.6,6387,2.63,ASK,2000,New Order,16,,Morgan Stanley Hong Kong Securities Limited
07:10.9,3436,2.75,ASK,20000,Removed Order,66,,Goldman Sachs (Asia) Securities Limited
07:11.6,1836,2.63,ASK,40000,Removed Order,11,,Instinet Pacific Limited
07:12.0,6387,2.67,ASK,5000,Removed Order,33,,Morgan Stanley Hong Kong Securities Limited
07:12.0,6387,2.67,ASK,4000,Removed Order,34,,Morgan Stanley Hong Kong Securities Limited
07:12.8,5522,2.59,BID,10000,Trade,1,,Everbright Securities Investment Services (HK) Limited
07:12.8,5998,2.59,BID,6000,Trade,1,,China Innovation Market Service Company Limited
07:12.8,3646,2.59,BID,2000,Trade,1,,Merrill Lynch Far East Limited
07:12.8,5337,2.59,BID,22000,Trade,1,,J.P. Morgan Broking (Hong Kong) Limited
07:13.5,5999,2.6,ASK,16000,Trade,1,,China Innovation Market Service Company Limited
07:13.6,4821,2.62,ASK,10000,Removed Order,9,,Valuable Capital Limited
07:13.8,1836,2.63,ASK,20000,Removed Order,14,,Instinet Pacific Limited
07:14.0,5337,2.59,BID,20000,Trade,1,,J.P. Morgan Broking (Hong Kong) Limited
07:14.3,5337,2.59,BID,10000,Trade,1,,J.P. Morgan Broking (Hong Kong) Limited
07:15.4,5838,2.65,ASK,10000,New Order,22,,DBS Vickers (Hong Kong) Limited
07:17.7,5998,2.52,BID,2000,New Order,10,,China Innovation Market Service Company Limited
07:18.1,5337,2.59,BID,10000,Removed Order,1,,J.P. Morgan Broking (Hong Kong) Limited
07:18.1,2045,2.58,BID,7000,New Order,4,,Barclays Capital Asia Limited
07:18.2,5339,2.58,BID,167000,New Order,5,,J.P. Morgan Broking (Hong Kong) Limited
07:18.2,5344,2.58,BID,17000,New Order,6,,J.P. Morgan Broking (Hong Kong) Limited
07:18.2,101,2.64,ASK,11000,New Order,18,,Core Pacific - Yamaichi International (H.K.) Limited
07:20.8,5342,2.59,BID,16000,New Order,1,,J.P. Morgan Broking (Hong Kong) Limited
07:20.8,5342,2.59,BID,16000,Trade,1,,J.P. Morgan Broking (Hong Kong) Limited
07:20.8,5342,2.59,BID,16000,New Order,1,,J.P. Morgan Broking (Hong Kong) Limited
07:20.8,1172,2.58,BID,4000,New Order,8,,Huatai Financial Holdings (Hong Kong) Limited
07:20.8,5344,2.58,BID,17000,Removed Order,7,,J.P. Morgan Broking (Hong Kong) Limited
07:20.8,5347,2.62,ASK,51000,Removed Order,10,,J.P. Morgan Broking (Hong Kong) Limited
07:20.8,5339,2.58,BID,167000,Removed Order,6,,J.P. Morgan Broking (Hong Kong) Limited
07:20.8,9028,2.59,BID,16000,New Order,2,,UBS Securities Hong Kong Limited
07:21.5,5342,2.59,BID,16000,Trade,1,,J.P. Morgan Broking (Hong Kong) Limited
07:21.5,9028,2.59,BID,3000,Trade,1,,UBS Securities Hong Kong Limited
07:24.5,1836,2.55,BID,80000,New Order,12,,Instinet Pacific Limited
07:25.1,5998,2.53,BID,2000,New Order,13,,China Innovation Market Service Company Limited
07:25.6,5999,2.53,BID,1000,New Order,14,,China Innovation Market Service Company Limited
07:25.6,116,2.68,ASK,3000,Removed Order,37,,Core Pacific - Yamaichi International (H.K.) Limited
07:27.2,1836,2.5,BID,80000,New Order,18,,Instinet Pacific Limited
07:28.5,1836,2.62,ASK,40000,Removed Order,5,,Instinet Pacific Limited
07:30.2,1836,2.56,BID,40000,New Order,11,,Instinet Pacific Limited
07:31.2,1836,2.64,ASK,40000,New Order,17,,Instinet Pacific Limited
07:32.7,5998,2.54,BID,2000,New Order,14,,China Innovation Market Service Company Limited
07:32.9,1836,2.64,ASK,40000,Removed Order,17,,Instinet Pacific Limited
07:33.0,8302,2.59,BID,173000,New Order,2,,Futu Securities International (Hong Kong) Limited
07:33.0,8302,2.59,BID,173000,Removed Order,2,,Futu Securities International (Hong Kong) Limited
07:33.6,107,2.63,ASK,3000,New Order,14,,Core Pacific - Yamaichi International (H.K.) Limited
07:35.6,5998,2.72,ASK,21000,Removed Order,51,,China Innovation Market Service Company Limited
07:35.8,1836,2.63,ASK,40000,New Order,15,,Instinet Pacific Limited
07:37.7,2423,2.7,ASK,2000,Removed Order,45,,Barclays Capital Asia Limited
07:37.7,6387,2.63,ASK,2000,New Order,16,,Morgan Stanley Hong Kong Securities Limited
07:37.7,6387,2.7,ASK,2000,Removed Order,45,,Morgan Stanley Hong Kong Securities Limited
07:37.7,6387,2.64,ASK,2000,New Order,20,,Morgan Stanley Hong Kong Securities Limited
07:39.3,8305,2.59,BID,2000,New Order,2,,Futu Securities International (Hong Kong) Limited
